Protein	Len	3	4	8	11	12	16	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value z statistic	fdr	FDRup	FDRdown
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437
CHOYP_BRAFLDRAFT_80496.6.10|m.29014	5311	35	43	43	99	108	79	0.907	0.907	9.5591	9.5591	0	0	0.541501
CHOYP_LOC101173335.2.4|m.33982	2976	64	16	91	115	106	128	0.757	0.757	8.4281	8.4281	0	0	0.541566
CHOYP_contig_045550|m.53021	249	22	7	19	60	57	64	1.369	1.369	7.9869	7.9869	0	0	0.541649
CHOYP_LOC100538313.1.1|m.64152	3294	46	10	78	90	87	113	0.805	0.805	7.8923	7.8923	0	0	0.541677
CHOYP_HMCN1.19.44|m.39500	3182	59	4	80	100	104	98	0.785	0.785	7.5846	7.5846	0	0	0.541757
CHOYP_CO6A3.3.5|m.39796	2929	38	9	65	79	75	92	0.821	0.821	7.2658	7.2658	0	0	0.54184
CHOYP_LOC100369657.2.2|m.45309	552	7	1	13	33	39	29	1.622	1.622	7.1629	7.1629	0	0	0.541876
CHOYP_LOC101169658.2.3|m.20752	325	11	5	21	24	35	76	1.339	1.339	6.9635	6.9635	0	0	0.54194
CHOYP_PPUTW619_2764.1.1|m.44946	1034	32	2	44	51	57	55	0.771	0.771	6.1333	6.1333	0	0	0.542239
CHOYP_contig_041958|m.48141	140	33	33	43	53	75	76	0.659	0.659	5.6106	5.6106	0	0	0.542392
CHOYP_CATA.3.3|m.21642	517	41	24	51	65	63	81	0.626	0.626	5.3915	5.3915	0	0	0.542568
CHOYP_LOC100486063.5.9|m.39538	1913	45	15	61	64	71	75	0.607	0.607	5.3557	5.3557	0	0	0.542605
CHOYP_LOC587610.3.3|m.27175	706	10	7	26	31	41	33	0.943	0.943	5.2757	5.2757	0	0	0.542693
CHOYP_BRAFLDRAFT_118790.1.1|m.29970	507	6	8	8	26	21	25	1.224	1.224	5.0471	5.0471	0	0	0.542948
CHOYP_BRAFLDRAFT_90332.3.4|m.18933	627	9	6	20	32	36	22	0.965	0.965	4.9015	4.9015	0	0	0.543093
CHOYP_LOC100486063.6.9|m.44250	2179	30	7	43	44	50	54	0.646	0.646	4.8768	4.8768	0	0	0.543117
